Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Energy_Joules,Flight_Time_s,Collisions,Coverage_pct
3,0.5,Normal,Drone 0,Success,1.3868,2774.0809,3.9799,5067.4,50.0,0,99.86
3,0.5,Normal,Drone 1,Success,1.3715,2506.0769,3.78,4361.25,43.1,0,99.86
3,0.5,Normal,Drone 2,Success,1.3424,1810.4597,4.0031,3379.65,33.2,0,99.86
3,0.5,Normal,Drone 3,Success,1.147,1923.943,4.0055,4157.44,41.0,0,99.86
3,0.5,Normal,Drone 4,Success,1.2968,2675.7391,3.9929,5023.71,49.5,0,99.86
3,0.5,Early,Drone 0,Success,2.0407,2637.6117,3.9902,4219.4,41.4,0,99.81
3,0.5,Early,Drone 1,Success,2.018,2473.7181,3.7862,4185.99,35.7,0,99.81
3,0.5,Early,Drone 2,Success,2.0834,1818.5406,4.0103,4160.63,27.95,0,99.81
3,0.5,Early,Drone 3,Success,1.7285,1815.5425,4.0181,4191.5,34.1,0,99.81
3,0.5,Early,Drone 4,Success,1.9225,2658.1476,4.0026,4233.84,41.25,0,99.81
27,0.5,Normal,Drone 0,Success,1.3121,1810.8078,4.004,3312.94,32.35,0,99.98
27,0.5,Normal,Drone 1,Success,1.2564,2219.66,4.0035,4325.06,42.75,0,99.98
27,0.5,Normal,Drone 2,Success,1.4178,3092.2964,3.9298,5264.47,52.05,0,99.98
27,0.5,Normal,Drone 3,Success,1.1513,2116.8354,3.7585,4080.79,40.1,0,99.98
27,0.5,Normal,Drone 4,Success,1.2802,2935.8674,3.8588,5125.42,50.35,0,99.98
27,0.5,Early,Drone 0,Success,1.9784,1678.1887,4.0155,4267.95,27.85,0,99.94
27,0.5,Early,Drone 1,Success,1.9001,2117.3543,4.0127,4280.72,35.25,0,99.94
27,0.5,Early,Drone 2,Success,2.0769,3073.0971,3.9401,4310.12,42.4,0,99.94
27,0.5,Early,Drone 3,Success,2.0273,1839.2647,3.7287,4292.07,33.65,0,99.94
27,0.5,Early,Drone 4,Success,1.9254,3052.5123,3.8681,4345.81,42.15,0,99.94
51,0.5,Normal,Drone 0,Success,1.3403,2322.2823,3.9436,4384.38,43.15,0,99.93
51,0.5,Normal,Drone 1,Success,1.1848,1893.8638,4.0053,3798.67,37.3,0,99.93
51,0.5,Normal,Drone 2,Success,1.3913,2787.7737,3.8761,4826.08,47.65,0,99.93
51,0.5,Normal,Drone 3,Success,1.3429,1946.9088,3.7167,3767.03,37.05,0,99.93
51,0.5,Normal,Drone 4,Success,1.4577,2939.3232,3.8911,4890.08,48.2,0,99.93
51,0.5,Early,Drone 0,Success,1.921,2337.486,3.957,4043.19,36.35,0,99.88
51,0.5,Early,Drone 1,Success,1.8478,1819.2448,4.0157,4027.96,32.05,0,99.88
51,0.5,Early,Drone 2,Success,2.0414,2669.6128,3.8827,4049.23,39.75,0,99.88
51,0.5,Early,Drone 3,Success,1.7522,2026.8704,3.7271,4022.86,31.45,0,99.88
51,0.5,Early,Drone 4,Success,2.0997,2808.1385,3.8996,4056.03,39.7,0,99.88
13,0.5,Normal,Drone 0,Success,1.3146,2740.0269,3.9005,5003.49,49.4,0,99.94
13,0.5,Normal,Drone 1,Success,1.3512,1887.5018,4.0028,3608.22,35.65,0,99.94
13,0.5,Normal,Drone 2,Success,1.7154,2089.2929,3.6327,3569.89,35.1,0,99.94
13,0.5,Normal,Drone 3,Success,1.293,2880.4208,3.8798,5151.79,50.65,0,99.94
13,0.5,Normal,Drone 4,Success,1.5011,2539.5515,3.9517,4461.82,44.05,0,99.94
13,0.5,Early,Drone 0,Success,1.8861,2730.7205,3.9129,4407.25,40.9,0,99.92
13,0.5,Early,Drone 1,Success,2.028,1813.5747,4.0103,4337.55,29.6,0,99.92
13,0.5,Early,Drone 2,Success,2.2002,2073.0437,3.6388,4348.1,29.35,0,99.92
13,0.5,Early,Drone 3,Success,1.9417,2875.4602,3.8904,4438.87,43.35,0,99.92
13,0.5,Early,Drone 4,Success,2.2021,2567.3218,3.9594,4377.06,36.05,0,99.92
93,0.5,Normal,Drone 0,Success,1.1669,1792.0356,4.0064,3531.39,34.6,0,99.9
93,0.5,Normal,Drone 1,Success,1.2313,2059.5095,4.0044,4434.84,43.7,0,99.9
93,0.5,Normal,Drone 2,Success,1.4484,2754.0027,3.9745,4902.06,48.4,0,99.9
93,0.5,Normal,Drone 3,Success,1.4556,2159.3365,3.7323,3745.98,37.0,0,99.9
93,0.5,Normal,Drone 4,Success,1.3525,2886.9972,3.8602,5251.82,51.85,0,99.9
93,0.5,Early,Drone 0,Success,1.6952,1680.9987,4.0201,4341.46,30.0,0,99.9
93,0.5,Early,Drone 1,Success,1.7749,1865.8493,4.0144,4360.67,37.2,0,99.9
93,0.5,Early,Drone 2,Success,2.0769,2665.9752,3.9824,4369.84,40.0,0,99.9
93,0.5,Early,Drone 3,Success,2.0272,2115.7913,3.7118,4318.63,30.1,0,99.9
93,0.5,Early,Drone 4,Success,1.9152,2855.7602,3.8717,4395.44,43.05,0,99.9
42,0.5,Normal,Drone 0,Success,1.1685,2506.0293,4.0066,4634.13,45.6,0,99.9
42,0.5,Normal,Drone 1,Success,1.2343,1719.7127,4.005,3534.61,34.6,0,99.9
42,0.5,Normal,Drone 2,Success,1.3206,2659.5747,3.9872,5140.77,50.5,0,99.9
42,0.5,Normal,Drone 3,Success,1.4032,2249.6247,3.661,4224.44,41.45,0,99.9
42,0.5,Normal,Drone 4,Success,1.3479,2647.9099,3.9495,5106.13,50.4,0,99.9
42,0.5,Early,Drone 0,Success,1.8198,2532.4715,4.0203,4339.87,38.25,0,99.86
42,0.5,Early,Drone 1,Success,2.4405,1710.5511,4.0126,4305.0,30.5,0,99.86
42,0.5,Early,Drone 2,Success,1.9238,2589.8855,3.9992,4377.21,42.65,0,99.86
42,0.5,Early,Drone 3,Success,1.8982,2188.1983,3.6664,4330.56,35.3,0,99.86
42,0.5,Early,Drone 4,Success,1.9625,2499.2623,3.9608,4348.85,41.7,0,99.86
84,0.5,Normal,Drone 0,Success,1.2938,2418.0388,4.0033,4391.64,43.25,0,99.96
84,0.5,Normal,Drone 1,Success,1.0812,1966.217,4.0075,4035.26,39.7,0,99.96
84,0.5,Normal,Drone 2,Success,1.3776,2715.1479,3.9504,4904.97,48.25,0,99.96
84,0.5,Normal,Drone 3,Success,1.6029,2147.44,3.7626,3545.83,34.8,0,99.96
84,0.5,Normal,Drone 4,Success,1.2236,2696.0047,3.9835,5403.71,53.4,0,99.96
84,0.5,Early,Drone 0,Success,2.0252,2371.3733,4.0106,4472.16,36.25,0,99.94
84,0.5,Early,Drone 1,Success,1.6302,1923.27,4.019,4466.11,33.8,0,99.94
84,0.5,Early,Drone 2,Success,2.0306,2775.6349,3.9629,4510.12,39.9,0,99.94
84,0.5,Early,Drone 3,Success,2.2259,2076.7578,3.7681,4445.1,28.85,0,99.94
84,0.5,Early,Drone 4,Success,1.7589,2647.928,3.9974,4508.43,44.25,0,99.94
79,0.5,Normal,Drone 0,Success,1.2109,2237.8469,4.0026,4527.22,44.4,0,99.99
79,0.5,Normal,Drone 1,Success,1.3801,2183.5713,4.0028,3974.2,39.3,0,99.99
79,0.5,Normal,Drone 2,Success,1.3504,3118.0831,3.8457,5184.52,50.95,0,99.99
79,0.5,Normal,Drone 3,Success,1.1818,1999.7158,3.6504,3830.65,37.6,0,99.99
79,0.5,Normal,Drone 4,Success,1.4186,2487.3122,3.8554,4912.48,48.15,0,99.99
79,0.5,Early,Drone 0,Success,1.8447,2194.7135,4.0133,4297.44,37.65,0,99.97
79,0.5,Early,Drone 1,Success,2.0835,2080.5495,4.011,4226.13,31.95,0,99.97
79,0.5,Early,Drone 2,Success,2.2245,2829.6642,3.8433,4315.75,42.05,0,99.97
79,0.5,Early,Drone 3,Success,1.6962,1891.0274,3.6592,4254.66,31.7,0,99.97
79,0.5,Early,Drone 4,Success,1.9683,2491.4147,3.8671,4314.19,41.75,0,99.97
32,0.5,Normal,Drone 0,Success,1.5174,2198.2204,3.9417,3916.89,38.5,0,99.98
32,0.5,Normal,Drone 1,Success,1.3926,2355.6968,3.7977,4023.84,39.75,0,99.98
32,0.5,Normal,Drone 2,Success,1.2838,2337.9161,3.8673,4286.66,42.15,0,99.98
32,0.5,Normal,Drone 3,Success,1.4013,2133.3921,3.9554,3903.52,38.4,0,99.98
32,0.5,Normal,Drone 4,Success,1.2717,3216.8179,3.8123,5582.59,55.15,0,99.98
32,0.5,Early,Drone 0,Success,2.1511,2188.412,3.9496,4518.16,32.35,0,99.9
32,0.5,Early,Drone 1,Success,2.296,2289.2225,3.7884,4501.81,32.8,0,99.9
32,0.5,Early,Drone 2,Success,1.9023,2266.4087,3.8782,4531.55,35.05,0,99.9
32,0.5,Early,Drone 3,Success,2.0037,2186.5183,3.9688,4519.1,31.95,0,99.9
32,0.5,Early,Drone 4,Success,2.0075,3260.2044,3.8235,4566.66,44.85,0,99.9
25,0.5,Normal,Drone 0,Success,1.2844,2695.9049,3.9852,5041.57,49.5,0,99.92
25,0.5,Normal,Drone 1,Success,1.4495,2622.7121,4.0053,4835.88,47.55,0,99.92
25,0.5,Normal,Drone 2,Success,1.2482,1722.167,3.6958,3345.49,33.0,0,99.92
25,0.5,Normal,Drone 3,Success,1.2332,2379.5998,4.0046,4584.17,44.9,0,99.92
25,0.5,Normal,Drone 4,Success,1.2046,2704.5369,4.0042,4991.61,49.05,0,99.92
25,0.5,Early,Drone 0,Success,1.8869,2587.8403,3.9966,4348.06,41.6,0,99.96
25,0.5,Early,Drone 1,Success,2.0709,2665.0771,4.0167,4338.88,40.95,0,99.96
25,0.5,Early,Drone 2,Success,1.7874,1725.3826,3.7033,4242.27,27.5,0,99.96
25,0.5,Early,Drone 3,Success,1.8938,2343.7174,4.0138,4326.54,38.75,0,99.96
25,0.5,Early,Drone 4,Success,1.8286,2780.8215,4.015,4341.22,42.4,0,99.96
33,0.5,Normal,Drone 0,Success,1.3092,2927.1746,3.9944,5148.08,50.65,0,99.89
33,0.5,Normal,Drone 1,Success,1.2772,1968.5461,3.7459,3658.87,35.95,0,99.89
33,0.5,Normal,Drone 2,Success,1.3789,2579.3009,4.0056,4838.95,47.5,0,99.89
33,0.5,Normal,Drone 3,Success,1.2123,2147.5734,4.0045,4234.74,41.6,0,99.89
33,0.5,Normal,Drone 4,Success,1.2052,2195.8201,4.0055,4114.29,40.45,0,99.89
