Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Energy_Joules,Flight_Time_s,Collisions,Coverage_pct
42,0.1,Normal,Drone 4,Success,1.421,1860.9605,3.8889,3753.0,36.75,0,97.93
42,0.1,Early,Drone 0,Success,2.3804,1662.6911,4.0209,3234.25,26.55,0,97.52
42,0.1,Early,Drone 1,Success,1.926,1361.8275,3.9873,3239.31,25.35,0,97.52
42,0.1,Early,Drone 2,Success,2.2561,1678.7925,3.9428,3224.71,26.5,0,97.52
42,0.1,Early,Drone 3,Success,1.8994,1389.4406,3.5088,3233.0,24.85,0,97.52
42,0.1,Early,Drone 4,Success,2.0422,1773.3759,3.897,3265.29,31.75,0,97.52
84,0.1,Normal,Drone 0,Success,1.4901,2202.4309,3.889,3828.24,37.5,0,98.48
84,0.1,Normal,Drone 1,Success,1.6708,1647.7455,3.8285,2923.82,28.6,0,98.48
84,0.1,Normal,Drone 2,Success,1.3028,1200.3022,3.7186,2499.34,24.4,0,98.48
84,0.1,Normal,Drone 3,Success,1.5411,2233.4511,3.7703,4324.7,42.45,0,98.48
84,0.1,Normal,Drone 4,Success,1.2461,1125.7814,4.0046,2200.16,21.5,0,98.48
84,0.1,Early,Drone 0,Success,2.1651,2312.0522,3.9003,3726.57,31.8,0,98.4
84,0.1,Early,Drone 1,Success,2.2854,1564.8565,3.8311,3684.17,24.85,0,98.4
84,0.1,Early,Drone 2,Success,1.7773,1215.9899,3.729,3668.98,21.2,0,98.4
84,0.1,Early,Drone 3,Success,2.116,2131.6747,3.772,3751.57,36.55,0,98.4
84,0.1,Early,Drone 4,Success,1.9428,1122.4555,4.0161,3646.99,18.35,0,98.4
79,0.1,Normal,Drone 0,Success,1.2101,1600.2467,4.003,3109.48,30.45,0,97.27
79,0.1,Normal,Drone 1,Success,1.454,1541.5944,3.9995,2713.04,26.5,0,97.27
79,0.1,Normal,Drone 2,Success,1.7481,1992.5583,3.9623,3478.41,34.05,0,97.27
79,0.1,Normal,Drone 3,Success,1.6288,1234.8202,3.6654,2234.1,22.0,0,97.27
79,0.1,Normal,Drone 4,Success,1.5679,2282.1076,3.8353,3471.72,34.0,0,97.27
79,0.1,Early,Drone 0,Success,1.907,1642.2232,4.0148,2984.62,26.35,0,96.66
79,0.1,Early,Drone 1,Success,2.2212,1530.3854,4.0029,2968.59,22.8,0,96.66
79,0.1,Early,Drone 2,Success,2.3581,2025.2085,3.9664,2999.54,29.2,0,96.66
79,0.1,Early,Drone 3,Success,2.2946,1268.0226,3.6703,2922.58,17.9,0,96.66
79,0.1,Early,Drone 4,Success,2.2358,2168.1326,3.8405,2996.95,28.75,0,96.66
32,0.1,Normal,Drone 0,Success,1.2107,1431.8601,4.0037,2754.5,26.85,0,97.76
32,0.1,Normal,Drone 1,Success,1.3449,1684.8943,4.0026,2958.3,28.85,0,97.76
32,0.1,Normal,Drone 2,Success,1.4013,2337.6997,3.8939,3933.1,38.25,0,97.76
32,0.1,Normal,Drone 3,Success,1.5114,1529.0202,3.6395,2478.7,24.25,0,97.76
32,0.1,Normal,Drone 4,Success,1.2607,1909.8978,3.8981,3908.62,37.95,0,97.76
32,0.1,Early,Drone 0,Success,1.9324,1393.1167,4.0114,3416.3,23.35,0,97.29
32,0.1,Early,Drone 1,Success,2.1091,1638.9366,4.0083,3423.45,24.7,0,97.29
32,0.1,Early,Drone 2,Success,2.0164,2317.5418,3.9009,3495.56,33.75,0,97.29
32,0.1,Early,Drone 3,Success,2.1979,1591.0864,3.6438,3387.91,20.0,0,97.29
32,0.1,Early,Drone 4,Success,1.7882,2095.3696,3.9148,3502.56,33.4,0,97.29
25,0.1,Normal,Drone 0,Success,2.0697,1873.1491,3.7148,3322.3,32.45,0,96.92
25,0.1,Normal,Drone 1,Success,1.2994,1439.6823,3.9926,2978.92,29.0,0,96.92
25,0.1,Normal,Drone 2,Success,1.3036,1934.0938,3.8368,3745.13,36.7,0,96.92
25,0.1,Normal,Drone 3,Success,1.5081,1599.9938,3.9981,2600.18,25.5,0,96.92
25,0.1,Normal,Drone 4,Success,1.5878,2075.5865,3.9598,3421.07,33.45,0,96.92
25,0.1,Early,Drone 0,Success,2.6264,1868.0185,3.7217,3257.25,27.55,0,96.51
25,0.1,Early,Drone 1,Success,1.87,1487.7236,4.0091,3247.13,25.4,0,96.51
25,0.1,Early,Drone 2,Success,1.8495,1985.6756,3.8457,3274.5,31.85,0,96.51
25,0.1,Early,Drone 3,Success,2.3322,1645.5328,4.0008,3201.82,21.7,0,96.51
25,0.1,Early,Drone 4,Success,2.3235,1930.5959,3.9666,3256.94,28.25,0,96.51
33,0.1,Normal,Drone 0,Success,1.9067,1698.2755,3.9706,3728.4,36.4,0,97.35
33,0.1,Normal,Drone 1,Success,1.4013,1922.2164,3.7652,3276.04,32.0,0,97.35
33,0.1,Normal,Drone 2,Success,1.0465,1439.3592,4.0049,3189.02,31.05,0,97.35
33,0.1,Normal,Drone 3,Success,1.3307,1701.9314,3.993,3405.88,33.4,0,97.35
33,0.1,Normal,Drone 4,Success,1.1528,1588.1722,4.0055,2830.22,27.55,0,97.35
33,0.1,Early,Drone 0,Success,2.4342,1785.6382,3.9796,3304.24,32.05,0,96.81
33,0.1,Early,Drone 1,Success,1.9951,1941.6982,3.7729,3272.04,27.0,0,96.81
33,0.1,Early,Drone 2,Success,1.7577,1478.6933,4.0157,3287.48,27.55,0,96.81
33,0.1,Early,Drone 3,Success,1.8588,1736.4612,4.0065,3267.03,28.5,0,96.81
33,0.1,Early,Drone 4,Success,1.8457,1648.7312,4.0127,3265.03,24.65,0,96.81
41,0.1,Normal,Drone 0,Success,1.3059,2077.6701,4.0028,3775.49,37.05,0,98.43
41,0.1,Normal,Drone 1,Success,1.4582,1230.2039,3.597,2248.39,22.05,0,98.43
41,0.1,Normal,Drone 2,Success,1.4661,1581.488,4.0001,2895.28,28.4,0,98.43
41,0.1,Normal,Drone 3,Success,1.1206,1538.0961,4.0055,2877.35,28.1,0,98.43
41,0.1,Normal,Drone 4,Success,1.467,2071.5013,3.7839,3809.73,37.25,0,98.43
41,0.1,Early,Drone 0,Success,2.0123,1993.102,4.0105,3292.33,31.35,0,97.7
41,0.1,Early,Drone 1,Success,2.0416,1208.3241,3.6016,3214.56,18.25,0,97.7
