Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Flight_Time_s,Coverage_pct
79,0.3,Normal,Drone 3,Success,1.3715,1226.8771,4.0,24.1,99.27
79,0.3,Normal,Drone 4,Success,1.3083,2890.2357,3.9937,49.2,99.27
79,0.3,Early,Drone 0,Success,1.4532,1653.838,3.732,27.75,99.03
79,0.3,Early,Drone 1,Success,2.0646,2418.1216,3.8445,31.7,99.03
79,0.3,Early,Drone 2,Success,1.8595,1977.1395,3.9624,33.05,99.03
79,0.3,Early,Drone 3,Success,2.1515,1218.1291,4.0071,20.95,99.03
79,0.3,Early,Drone 4,Success,1.9828,2883.7942,4.0062,41.3,99.03
32,0.3,Normal,Drone 0,Success,1.5081,1861.3631,3.9101,33.15,99.27
32,0.3,Normal,Drone 1,Success,1.2103,2323.056,3.7868,43.15,99.27
32,0.3,Normal,Drone 2,Success,1.6606,2121.9027,3.8489,31.9,99.27
32,0.3,Normal,Drone 3,Success,1.1414,1806.024,4.0055,35.5,99.27
32,0.3,Normal,Drone 4,Success,1.5438,1908.382,3.8284,31.3,99.27
32,0.3,Early,Drone 0,Success,2.109,1811.3317,3.9177,28.8,99.09
32,0.3,Early,Drone 1,Success,1.808,2333.7021,3.8112,37.25,99.09
32,0.3,Early,Drone 2,Success,2.4249,2154.2197,3.8531,26.6,99.09
32,0.3,Early,Drone 3,Success,1.7554,1796.2442,4.019,30.55,99.09
32,0.3,Early,Drone 4,Success,2.2475,1871.2666,3.8348,25.85,99.09
25,0.3,Normal,Drone 0,Success,1.4066,2670.7716,3.8064,42.55,97.48
25,0.3,Normal,Drone 1,Success,1.5157,1397.1242,3.8812,29.45,97.48
25,0.3,Normal,Drone 2,Success,1.4418,2083.7006,3.7854,34.1,97.48
25,0.3,Normal,Drone 3,Success,1.3308,1799.7738,4.0028,28.45,97.48
25,0.3,Normal,Drone 4,Stuck,1.159,1788.3285,4.6382,44.75,97.48
25,0.3,Early,Drone 0,Success,2.1414,2693.5701,3.8148,35.25,99.6
25,0.3,Early,Drone 1,Success,2.0913,1427.3617,3.8937,25.65,99.6
25,0.3,Early,Drone 2,Success,2.0757,2123.3221,3.7931,29.1,99.6
25,0.3,Early,Drone 3,Success,2.0457,1790.7112,4.0118,24.3,99.6
25,0.3,Early,Drone 4,Success,1.942,2201.3096,3.8804,34.9,99.6
33,0.3,Normal,Drone 0,Success,1.6475,1340.782,3.8206,24.5,99.22
33,0.3,Normal,Drone 1,Success,1.1588,2509.4993,3.7951,44.5,99.22
33,0.3,Normal,Drone 2,Success,1.3755,2221.8763,3.979,41.2,99.22
33,0.3,Normal,Drone 3,Success,1.4675,1689.1803,3.9413,29.9,99.22
33,0.3,Normal,Drone 4,Success,1.2758,1706.7793,3.7522,34.75,99.22
33,0.3,Early,Drone 0,Success,2.2869,1363.8233,3.8267,19.95,98.91
33,0.3,Early,Drone 1,Success,1.7118,2480.9358,3.8069,38.35,98.91
33,0.3,Early,Drone 2,Success,2.3534,2325.9909,3.9901,35.15,98.91
33,0.3,Early,Drone 3,Success,1.9901,1673.8727,3.9482,26.3,98.91
33,0.3,Early,Drone 4,Success,2.073,1615.963,3.7034,28.65,98.91
41,0.3,Normal,Drone 0,Success,1.602,2141.1779,3.9874,41.75,99.85
41,0.3,Normal,Drone 1,Success,1.1289,1338.796,4.0047,30.55,99.85
41,0.3,Normal,Drone 2,Success,1.4394,1873.09,3.925,36.3,99.85
41,0.3,Normal,Drone 3,Success,1.4721,1816.3296,3.5833,29.5,99.85
41,0.3,Normal,Drone 4,Success,1.3394,2619.028,3.888,44.6,99.85
41,0.3,Early,Drone 0,Success,2.1215,2107.3586,3.996,35.75,99.74
41,0.3,Early,Drone 1,Success,2.5755,1128.8654,4.0269,23.5,99.74
41,0.3,Early,Drone 2,Success,2.0348,1953.0653,3.9373,30.65,99.74
41,0.3,Early,Drone 3,Success,2.1339,1738.4124,3.5868,25.05,99.74
41,0.3,Early,Drone 4,Success,1.9912,2717.5485,3.8969,38.1,99.74
69,0.3,Normal,Drone 0,Success,1.5775,1623.5135,3.7575,28.6,99.58
69,0.3,Normal,Drone 1,Success,1.3353,2699.7536,3.8216,41.85,99.58
69,0.3,Normal,Drone 2,Success,1.4382,2218.6596,3.8698,37.8,99.58
69,0.3,Normal,Drone 3,Success,1.7865,2018.706,3.9592,34.4,99.58
69,0.3,Normal,Drone 4,Success,1.8081,1935.9068,3.7948,32.55,99.58
69,0.3,Early,Drone 0,Success,2.2217,1612.9188,3.7615,24.3,99.52
69,0.3,Early,Drone 1,Success,1.9671,2759.3173,3.8303,34.45,99.52
69,0.3,Early,Drone 2,Success,2.0531,2158.865,3.878,32.05,99.52
69,0.3,Early,Drone 3,Success,2.335,2037.2179,3.9672,29.15,99.52
69,0.3,Early,Drone 4,Success,2.3522,2000.8861,3.8023,27.85,99.52
55,0.3,Normal,Drone 0,Success,1.3985,1860.4588,3.9842,35.8,98.94
55,0.3,Normal,Drone 1,Success,1.2674,1845.8454,4.0057,30.35,98.94
55,0.3,Normal,Drone 2,Success,1.3622,2145.121,3.9491,38.4,98.94
55,0.3,Normal,Drone 3,Success,1.3472,1556.7473,3.6436,29.6,98.94
55,0.3,Normal,Drone 4,Success,1.2552,2261.6353,3.8537,43.6,98.94
55,0.3,Early,Drone 0,Success,2.0038,1921.2316,3.9972,30.3,98.76
55,0.3,Early,Drone 1,Success,1.9589,1892.537,4.0177,25.75,98.76
55,0.3,Early,Drone 2,Success,1.9627,2143.6457,3.9598,33.05,98.76
55,0.3,Early,Drone 3,Success,1.8061,1489.7452,3.6543,25.6,98.76
55,0.3,Early,Drone 4,Success,1.8851,2252.835,3.8625,37.9,98.76
99,0.3,Normal,Drone 0,Success,1.4025,3035.0402,3.7709,42.35,98.86
99,0.3,Normal,Drone 1,Success,1.3923,1171.1237,3.7517,24.3,98.86
99,0.3,Normal,Drone 2,Success,1.5009,2041.5632,3.8156,34.35,98.86
99,0.3,Normal,Drone 3,Success,1.3076,1521.7855,4.0028,29.25,98.86
99,0.3,Normal,Drone 4,Success,1.3234,2202.1467,3.9655,41.45,98.86
99,0.3,Early,Drone 0,Success,2.3082,3033.5465,3.7708,34.4,98.56
99,0.3,Early,Drone 1,Success,1.9187,1099.2593,3.7613,20.1,98.56
99,0.3,Early,Drone 2,Success,2.4935,2008.4673,3.8199,29.05,98.56
99,0.3,Early,Drone 3,Success,1.9712,1488.2221,4.0121,24.7,98.56
99,0.3,Early,Drone 4,Success,1.895,2122.8189,3.9763,35.3,98.56
1,0.3,Normal,Drone 0,Success,1.4285,2352.0973,3.8086,38.55,99.04
1,0.3,Normal,Drone 1,Success,1.6726,1875.3697,3.7662,33.1,99.04
1,0.3,Normal,Drone 2,Success,1.2557,2334.6288,3.7807,42.1,99.04
1,0.3,Normal,Drone 3,Success,1.2231,1608.039,4.0009,30.6,99.04
1,0.3,Normal,Drone 4,Success,1.5318,1682.7603,3.8893,31.3,99.04
1,0.3,Early,Drone 0,Success,2.121,2200.7234,3.8134,32.1,98.78
1,0.3,Early,Drone 1,Success,2.2965,1906.8172,3.7728,28.5,98.78
1,0.3,Early,Drone 2,Success,2.2916,2319.34,3.7564,36.65,98.78
1,0.3,Early,Drone 3,Success,1.7864,1728.2647,4.0132,26.3,98.78
1,0.3,Early,Drone 4,Success,2.1298,1660.0127,3.8934,26.85,98.78
7,0.3,Normal,Drone 0,Success,1.3731,2338.8466,4.0014,38.55,99.07
7,0.3,Normal,Drone 1,Success,1.1931,2268.188,4.0046,39.7,99.07
7,0.3,Normal,Drone 2,Success,1.4186,1263.6335,3.5067,22.15,99.07
7,0.3,Normal,Drone 3,Success,1.3337,2203.7308,3.9775,39.4,99.07
7,0.3,Normal,Drone 4,Success,1.2433,1931.9901,3.9826,38.4,99.07
7,0.3,Early,Drone 0,Success,2.0836,2329.9826,4.011,32.2,98.68
7,0.3,Early,Drone 1,Success,1.8488,2247.0343,4.0132,34.2,98.68
7,0.3,Early,Drone 2,Success,1.8792,1307.2238,3.5131,18.9,98.68
7,0.3,Early,Drone 3,Success,1.9622,2185.8453,3.9881,33.85,98.68
7,0.3,Early,Drone 4,Success,1.6876,1849.1799,3.9935,33.45,98.68
77,0.3,Normal,Drone 0,Success,1.7061,1820.3877,3.8947,28.95,98.8
77,0.3,Normal,Drone 1,Success,1.3574,2299.8995,3.7806,38.05,98.8
77,0.3,Normal,Drone 2,Success,1.4497,2174.8842,4.0006,35.55,98.8
77,0.3,Normal,Drone 3,Success,1.7736,2105.652,3.7378,35.65,98.8
77,0.3,Normal,Drone 4,Success,1.3434,1697.8772,3.8402,34.7,98.8
77,0.3,Early,Drone 0,Success,2.3833,1840.4064,3.8973,24.8,98.55
77,0.3,Early,Drone 1,Success,2.0876,2362.8896,3.7871,31.25,98.55
77,0.3,Early,Drone 2,Success,2.1259,2085.4707,4.0055,29.85,98.55
77,0.3,Early,Drone 3,Success,2.6151,2054.7621,3.6383,29.25,98.55
77,0.3,Early,Drone 4,Success,1.9374,1695.7174,3.8527,30.3,98.55
11,0.3,Normal,Drone 0,Success,1.2676,2029.5173,3.742,33.65,99.12
11,0.3,Normal,Drone 1,Success,1.4575,2582.0325,3.8885,42.9,99.12
11,0.3,Normal,Drone 2,Success,1.3063,1799.3057,3.9941,32.8,99.12
11,0.3,Normal,Drone 3,Success,1.4415,1908.6593,3.9866,33.4,99.12
11,0.3,Normal,Drone 4,Success,1.5596,1970.6777,3.774,30.7,99.12
11,0.3,Early,Drone 0,Success,1.8737,1997.2622,3.7561,28.0,98.77
11,0.3,Early,Drone 1,Success,2.1594,2643.1221,3.8974,35.5,98.77
11,0.3,Early,Drone 2,Success,2.3716,1734.2464,4.0038,27.9,98.77
11,0.3,Early,Drone 3,Success,2.03,1911.1784,3.9974,28.2,98.77
11,0.3,Early,Drone 4,Success,2.2245,1996.5399,3.7781,26.15,98.77
62,0.3,Normal,Drone 0,Success,1.4088,2968.9752,3.8018,48.95,99.78
62,0.3,Normal,Drone 1,Success,1.5249,1987.1241,3.9456,32.5,99.78
62,0.3,Normal,Drone 2,Success,1.5495,1484.5067,3.7234,25.15,99.78
62,0.3,Normal,Drone 3,Success,1.3432,1922.9637,3.9493,34.35,99.78
62,0.3,Normal,Drone 4,Success,1.4048,1792.6299,3.9535,35.5,99.78
62,0.3,Early,Drone 0,Success,1.9977,2936.2031,3.808,42.6,99.57
62,0.3,Early,Drone 1,Success,2.149,2026.0308,3.9541,26.95,99.57
62,0.3,Early,Drone 2,Success,2.2313,1446.4027,3.7315,20.9,99.57
62,0.3,Early,Drone 3,Success,1.941,1955.8285,3.9615,28.6,99.57
62,0.3,Early,Drone 4,Success,1.9908,1813.707,3.9653,31.5,99.57
