Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Energy_Joules,Flight_Time_s,Collisions,Coverage_pct,Solve_Time
11,0.3,Normal,Drone 0,Success,1.0627,1772.3027,0.2625,3468.09,33.9,0,99.37,0.015292
11,0.3,Normal,Drone 1,Success,1.3192,1805.2571,0.2339,3067.86,30.1,0,99.37,0.015292
11,0.3,Normal,Drone 2,Success,1.2809,2422.7668,0.2208,4294.68,42.25,0,99.37,0.015292
11,0.3,Normal,Drone 3,Success,1.1986,1736.5225,0.2133,3549.76,34.75,0,99.37,0.015292
11,0.3,Normal,Drone 4,Success,1.4511,2040.3264,0.2376,3989.42,39.0,0,99.37,0.015292
11,0.3,Early,Drone 0,Success,1.7083,1823.6214,0.4031,3753.2,30.6,0,99.14,0.018599
11,0.3,Early,Drone 1,Success,2.0534,1800.9928,0.3524,3716.64,26.8,0,99.14,0.018599
11,0.3,Early,Drone 2,Success,1.9526,2414.3669,0.3518,3772.06,36.9,0,99.14,0.018599
11,0.3,Early,Drone 3,Success,1.8574,1595.7794,0.3231,3746.85,30.9,0,99.14,0.018599
11,0.3,Early,Drone 4,Success,2.0644,2079.0105,0.3829,3778.52,34.9,0,99.14,0.018599
