Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Energy_Joules,Flight_Time_s,Collisions,Coverage_pct,Solve_Time
69,0.3,Normal,Drone 0,Success,1.328,6872.4427,0.1888,3470.04,34.0,0,99.44,0.035075
69,0.3,Normal,Drone 1,Success,1.3159,5067.7363,0.2201,4146.49,40.55,0,99.44,0.035075
69,0.3,Normal,Drone 2,Success,1.0417,9311.1146,0.2425,3704.42,36.15,0,99.44,0.035075
69,0.3,Normal,Drone 3,Success,1.2318,8827.7785,0.2421,4754.48,46.75,0,99.44,0.035075
69,0.3,Normal,Drone 4,Stuck,1.3216,44569.1113,0.2327,7604.87,75.05,0,99.44,0.035075
69,0.3,Early,Drone 0,Success,2.1373,6605.9007,0.2693,7409.27,29.8,0,99.28,0.043098
69,0.3,Early,Drone 1,Success,2.0436,4820.8185,0.3018,7452.44,35.7,0,99.28,0.043098
69,0.3,Early,Drone 2,Success,1.5852,10331.3371,0.464,7433.86,32.3,0,99.28,0.043098
69,0.3,Early,Drone 3,Success,2.0131,6817.5201,0.3717,7452.09,39.3,0,99.28,0.043098
69,0.3,Early,Drone 4,Stuck,1.9165,44329.5624,0.2978,7613.8,75.05,0,99.28,0.043098
