Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Energy_Joules,Flight_Time_s,Collisions,Coverage_pct
84,0.3,Normal,Drone 3,Success,1.3562,1329.813,3.7469,2907.65,28.8,0,99.76
84,0.3,Normal,Drone 4,Success,1.3812,2493.575,3.7784,4088.18,40.15,0,99.76
84,0.3,Early,Drone 0,Success,1.9404,2081.0231,3.9008,3552.15,34.25,0,99.65
84,0.3,Early,Drone 1,Success,1.8663,1552.2861,4.0097,3515.36,27.5,0,99.65
84,0.3,Early,Drone 2,Success,2.027,2370.9821,3.9579,3589.29,34.6,0,99.65
84,0.3,Early,Drone 3,Success,1.8856,1280.094,3.7554,3463.88,24.3,0,99.65
84,0.3,Early,Drone 4,Success,2.2787,2517.8952,3.7651,3545.52,32.85,0,99.65
79,0.3,Normal,Drone 0,Success,1.1606,1463.0585,4.0033,2976.58,29.05,0,99.73
79,0.3,Normal,Drone 1,Success,1.5524,1926.3417,3.8907,3326.03,32.7,0,99.73
79,0.3,Normal,Drone 2,Success,1.1315,1570.6818,3.6881,3423.55,33.6,0,99.73
79,0.3,Normal,Drone 3,Success,1.365,2205.1096,3.9028,3956.53,38.9,0,99.73
79,0.3,Normal,Drone 4,Success,1.3698,2410.9025,3.8263,4227.33,41.4,0,99.73
79,0.3,Early,Drone 0,Success,1.8486,1535.1944,4.014,3626.53,25.1,0,99.7
79,0.3,Early,Drone 1,Success,2.2477,1995.2479,3.8976,3615.23,27.8,0,99.7
79,0.3,Early,Drone 2,Success,1.8884,1591.8804,3.6872,3635.34,28.05,0,99.7
79,0.3,Early,Drone 3,Success,1.9186,2193.0587,3.9147,3654.01,32.25,0,99.7
79,0.3,Early,Drone 4,Success,1.9736,2377.4706,3.8302,3673.67,35.8,0,99.7
32,0.3,Normal,Drone 0,Success,1.1303,1753.577,4.0052,3839.29,37.6,0,99.18
32,0.3,Normal,Drone 1,Success,1.3496,1711.3428,3.7091,3257.59,31.95,0,99.18
32,0.3,Normal,Drone 2,Success,0.9099,1610.5815,4.0073,3634.53,35.45,0,99.18
32,0.3,Normal,Drone 3,Success,1.6693,2155.5791,4.0039,3961.68,38.85,0,99.18
32,0.3,Normal,Drone 4,Success,1.4608,2230.909,3.906,4520.92,44.0,0,99.18
32,0.3,Early,Drone 0,Success,1.7355,1709.7761,4.0151,4004.44,32.85,0,99.12
32,0.3,Early,Drone 1,Success,1.9922,1698.7449,3.7237,3962.19,27.1,0,99.12
32,0.3,Early,Drone 2,Success,1.5729,1659.5414,4.0185,4002.16,30.4,0,99.12
32,0.3,Early,Drone 3,Success,2.3249,2109.7693,4.0124,4003.95,33.15,0,99.12
32,0.3,Early,Drone 4,Success,1.6852,2284.4177,3.9202,4076.41,39.35,0,99.12
25,0.3,Normal,Drone 0,Success,1.845,1989.6865,3.7743,3446.89,33.75,0,99.44
25,0.3,Normal,Drone 1,Success,1.5085,1902.814,3.743,4164.57,40.75,0,99.44
