 "Map_Seed", "Overlap_Factor", "Algorithm", "Drone_ID", "Final_State", "Speed_m_s", "Jerk_m2_s5", "Miss_Distance_m", "Flight_Time_s",  "Coverage_pct"
79,0.3,Normal,Drone 3,Success,1.3715,1226.8771,4.0,24.1,99.27
79,0.3,Normal,Drone 4,Success,1.3083,2890.2357,3.9937,49.2,99.27
79,0.3,Early,Drone 0,Success,1.1937,1609.6035,3.7241,30.8,69.56
79,0.3,Early,Drone 1,Stuck,2.9063,18145.4145,8.9494,100.05,69.56
79,0.3,Early,Drone 2,Success,1.5871,2044.2649,3.9562,36.5,69.56
79,0.3,Early,Drone 3,Success,1.7332,1222.0859,4.0031,23.15,69.56
79,0.3,Early,Drone 4,Stuck,2.9262,15757.408,10.5254,100.05,69.56
32,0.3,Normal,Drone 0,Success,1.5081,1861.3631,3.9101,33.15,99.27
32,0.3,Normal,Drone 1,Success,1.2103,2323.056,3.7868,43.15,99.27
32,0.3,Normal,Drone 2,Success,1.6606,2121.9027,3.8489,31.9,99.27
32,0.3,Normal,Drone 3,Success,1.1414,1806.024,4.0055,35.5,99.27
32,0.3,Normal,Drone 4,Success,1.5438,1908.382,3.8284,31.3,99.27
32,0.3,Early,Drone 0,Success,1.8346,1875.1093,3.913,31.35,77.65
32,0.3,Early,Drone 1,Stuck,1.263,20597.5793,13.829,100.05,77.65
32,0.3,Early,Drone 2,Success,2.0215,2144.5786,3.8506,29.75,77.65
32,0.3,Early,Drone 3,Success,1.4739,1785.7471,4.0107,33.45,77.65
32,0.3,Early,Drone 4,Success,1.8778,1902.2777,3.831,29.05,77.65
25,0.3,Normal,Drone 0,Success,1.4066,2670.7716,3.8064,42.55,97.48
25,0.3,Normal,Drone 1,Success,1.5157,1397.1242,3.8812,29.45,97.48
25,0.3,Normal,Drone 2,Success,1.4418,2083.7006,3.7854,34.1,97.48
25,0.3,Normal,Drone 3,Success,1.3308,1799.7738,4.0028,28.45,97.48
25,0.3,Normal,Drone 4,Stuck,1.159,1788.3285,4.6382,44.75,97.48
25,0.3,Early,Drone 0,Stuck,0.7018,18693.8147,11.8688,100.05,78.1
25,0.3,Early,Drone 1,Success,1.7738,1434.631,3.8866,28.05,78.1
25,0.3,Early,Drone 2,Success,1.742,2113.4387,3.7886,32.1,78.1
25,0.3,Early,Drone 3,Success,1.6647,1796.4208,4.0067,26.9,78.1
25,0.3,Early,Drone 4,Stuck,1.4964,8909.2467,4.5598,100.05,78.1
33,0.3,Normal,Drone 0,Success,1.6475,1340.782,3.8206,24.5,99.22
33,0.3,Normal,Drone 1,Success,1.1588,2509.4993,3.7951,44.5,99.22
33,0.3,Normal,Drone 2,Success,1.3755,2221.8763,3.979,41.2,99.22
33,0.3,Normal,Drone 3,Success,1.4675,1689.1803,3.9413,29.9,99.22
33,0.3,Normal,Drone 4,Success,1.2758,1706.7793,3.7522,34.75,99.22
33,0.3,Early,Drone 0,Success,1.9099,1363.7306,3.8233,22.8,88.01
33,0.3,Early,Drone 1,Success,1.4488,2506.8251,3.8004,41.65,88.01
33,0.3,Early,Drone 2,Stuck,1.8138,14757.9452,6.5429,100.05,88.01
33,0.3,Early,Drone 3,Success,1.7158,1701.0503,3.9442,28.55,88.01
33,0.3,Early,Drone 4,Stuck,1.6386,10542.9027,4.0111,100.05,88.01
41,0.3,Normal,Drone 0,Success,1.602,2141.1779,3.9874,41.75,99.85
41,0.3,Normal,Drone 1,Success,1.1289,1338.796,4.0047,30.55,99.85
41,0.3,Normal,Drone 2,Success,1.4394,1873.09,3.925,36.3,99.85
41,0.3,Normal,Drone 3,Success,1.4721,1816.3296,3.5833,29.5,99.85
41,0.3,Normal,Drone 4,Success,1.3394,2619.028,3.888,44.6,99.85
41,0.3,Early,Drone 0,Success,1.8723,2138.1279,3.9913,39.0,99.8
41,0.3,Early,Drone 1,Success,1.3927,1329.0408,4.0089,29.7,99.8
41,0.3,Early,Drone 2,Success,1.7239,1925.7882,3.9299,33.75,99.8
41,0.3,Early,Drone 3,Success,1.7812,1827.0215,3.5844,27.75,99.8
41,0.3,Early,Drone 4,Success,1.6744,2711.1244,3.8922,41.45,99.8
69,0.3,Normal,Drone 0,Success,1.5775,1623.5135,3.7575,28.6,99.58
69,0.3,Normal,Drone 1,Success,1.3353,2699.7536,3.8216,41.85,99.58
69,0.3,Normal,Drone 2,Success,1.4382,2218.6596,3.8698,37.8,99.58
69,0.3,Normal,Drone 3,Success,1.7865,2018.706,3.9592,34.4,99.58
69,0.3,Normal,Drone 4,Success,1.8081,1935.9068,3.7948,32.55,99.58
69,0.3,Early,Drone 0,Success,1.8585,1630.6137,3.7585,27.05,99.55
69,0.3,Early,Drone 1,Success,1.654,2771.8885,3.8261,38.4,99.55
69,0.3,Early,Drone 2,Success,1.7863,2192.4623,3.8728,35.05,99.55
69,0.3,Early,Drone 3,Success,2.027,2043.6601,3.9629,32.3,99.55
69,0.3,Early,Drone 4,Success,2.1059,1995.7484,3.7978,30.4,99.55
55,0.3,Normal,Drone 0,Success,1.3985,1860.4588,3.9842,35.8,98.94
55,0.3,Normal,Drone 1,Success,1.2674,1845.8454,4.0057,30.35,98.94
55,0.3,Normal,Drone 2,Success,1.3622,2145.121,3.9491,38.4,98.94
55,0.3,Normal,Drone 3,Success,1.3472,1556.7473,3.6436,29.6,98.94
55,0.3,Normal,Drone 4,Success,1.2552,2261.6353,3.8537,43.6,98.94
55,0.3,Early,Drone 0,Success,1.7028,1898.4974,3.9895,33.45,80.74
55,0.3,Early,Drone 1,Success,1.5989,1876.5521,4.0109,28.5,80.74
55,0.3,Early,Drone 2,Stuck,1.2936,21363.9206,10.7354,100.05,80.74
55,0.3,Early,Drone 3,Success,1.6271,1550.277,3.646,28.15,80.74
55,0.3,Early,Drone 4,Success,1.5746,2268.3257,3.8574,40.95,80.74
99,0.3,Normal,Drone 0,Success,1.4025,3035.0402,3.7709,42.35,98.86
99,0.3,Normal,Drone 1,Success,1.3923,1171.1237,3.7517,24.3,98.86
99,0.3,Normal,Drone 2,Success,1.5009,2041.5632,3.8156,34.35,98.86
99,0.3,Normal,Drone 3,Success,1.3076,1521.7855,4.0028,29.25,98.86
99,0.3,Normal,Drone 4,Success,1.3234,2202.1467,3.9655,41.45,98.86
99,0.3,Early,Drone 0,Stuck,0.3839,14478.3793,12.4216,100.05,78.6
99,0.3,Early,Drone 1,Success,1.676,1147.2857,3.7559,22.7,78.6
99,0.3,Early,Drone 2,Success,2.1908,2065.1905,3.8178,32.05,78.6
99,0.3,Early,Drone 3,Success,1.6215,1528.4046,4.0063,27.55,78.6
99,0.3,Early,Drone 4,Success,1.6277,2168.9471,3.97,38.65,78.6
1,0.3,Normal,Drone 0,Success,1.4285,2352.0973,3.8086,38.55,99.04
1,0.3,Normal,Drone 1,Success,1.6726,1875.3697,3.7662,33.1,99.04
1,0.3,Normal,Drone 2,Success,1.2557,2334.6288,3.7807,42.1,99.04
1,0.3,Normal,Drone 3,Success,1.2231,1608.039,4.0009,30.6,99.04
1,0.3,Normal,Drone 4,Success,1.5318,1682.7603,3.8893,31.3,99.04
1,0.3,Early,Drone 0,Success,1.7667,2292.4334,3.8112,35.8,91.05
1,0.3,Early,Drone 1,Success,1.9745,1894.1562,3.7686,31.0,91.05
1,0.3,Early,Drone 2,Success,1.7032,2315.806,3.7766,39.65,91.05
1,0.3,Early,Drone 3,Stuck,1.5081,15307.0949,8.9172,100.05,91.05
1,0.3,Early,Drone 4,Success,1.8504,1698.742,3.8915,29.3,91.05
7,0.3,Normal,Drone 0,Success,1.3731,2338.8466,4.0014,38.55,99.07
7,0.3,Normal,Drone 1,Success,1.1931,2268.188,4.0046,39.7,99.07
7,0.3,Normal,Drone 2,Success,1.4186,1263.6335,3.5067,22.15,99.07
7,0.3,Normal,Drone 3,Success,1.3337,2203.7308,3.9775,39.4,99.07
7,0.3,Normal,Drone 4,Success,1.2433,1931.9901,3.9826,38.4,99.07
7,0.3,Early,Drone 0,Success,1.7278,2359.5959,4.0062,35.65,98.92
7,0.3,Early,Drone 1,Success,1.5233,2275.0578,4.0086,37.1,98.92
7,0.3,Early,Drone 2,Success,1.6554,1300.874,3.5092,20.95,98.92
7,0.3,Early,Drone 3,Success,1.6257,2212.0138,3.9818,37.15,98.92
7,0.3,Early,Drone 4,Success,1.4692,1883.7036,3.9868,36.35,98.92
77,0.3,Normal,Drone 0,Success,1.7061,1820.3877,3.8947,28.95,98.8
77,0.3,Normal,Drone 1,Success,1.3574,2299.8995,3.7806,38.05,98.8
77,0.3,Normal,Drone 2,Success,1.4497,2174.8842,4.0006,35.55,98.8
77,0.3,Normal,Drone 3,Success,1.7736,2105.652,3.7378,35.65,98.8
77,0.3,Normal,Drone 4,Success,1.3434,1697.8772,3.8402,34.7,98.8
77,0.3,Early,Drone 0,Success,2.0435,1839.3524,3.8963,27.3,97.86
77,0.3,Early,Drone 1,Success,1.7078,2362.0592,3.7835,35.0,97.86
77,0.3,Early,Drone 2,Success,1.7633,2165.9279,4.0033,33.05,97.86
77,0.3,Early,Drone 3,Stuck,2.0,13206.2395,3.9535,100.05,97.86
77,0.3,Early,Drone 4,Success,1.6119,1714.8719,3.845,33.15,97.86
11,0.3,Normal,Drone 0,Success,1.2676,2029.5173,3.742,33.65,99.12
11,0.3,Normal,Drone 1,Success,1.4575,2582.0325,3.8885,42.9,99.12
11,0.3,Normal,Drone 2,Success,1.3063,1799.3057,3.9941,32.8,99.12
11,0.3,Normal,Drone 3,Success,1.4415,1908.6593,3.9866,33.4,99.12
11,0.3,Normal,Drone 4,Success,1.5596,1970.6777,3.774,30.7,99.12
11,0.3,Early,Drone 0,Stuck,0.2738,19956.8124,11.2078,100.05,82.51
11,0.3,Early,Drone 1,Success,1.8302,2649.8938,3.892,39.25,82.51
11,0.3,Early,Drone 2,Success,1.5691,1825.6661,3.9978,31.0,82.51
11,0.3,Early,Drone 3,Success,1.7204,1923.0569,3.9912,31.35,82.51
11,0.3,Early,Drone 4,Success,1.8671,1999.6516,3.7755,28.95,82.51
62,0.3,Normal,Drone 0,Success,1.4088,2968.9752,3.8018,48.95,99.78
62,0.3,Normal,Drone 1,Success,1.5249,1987.1241,3.9456,32.5,99.78
62,0.3,Normal,Drone 2,Success,1.5495,1484.5067,3.7234,25.15,99.78
62,0.3,Normal,Drone 3,Success,1.3432,1922.9637,3.9493,34.35,99.78
62,0.3,Normal,Drone 4,Success,1.4048,1792.6299,3.9535,35.5,99.78
62,0.3,Early,Drone 0,Success,1.7039,2961.3339,3.8045,45.8,97.6
62,0.3,Early,Drone 1,Success,1.8528,2028.1982,3.9491,30.05,97.6
62,0.3,Early,Drone 2,Success,1.8739,1483.6732,3.7255,23.6,97.6
62,0.3,Early,Drone 3,Stuck,1.7616,12047.3952,4.8297,100.05,97.6
62,0.3,Early,Drone 4,Success,1.6858,1772.8439,3.9578,33.8,97.6
