Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Energy_Joules,Flight_Time_s,Collisions,Coverage_pct, Solve_Time
93,0.3,Early,Drone 4,Success,1.9411,7329.4086,0.3905,4357.92,35.8,0,98.31,0.018273
42,0.3,Normal,Drone 0,Success,1.2679,5744.8111,0.2562,4098.75,40.3,0,99.32,0.015892
42,0.3,Normal,Drone 1,Success,1.2587,6041.9281,0.2226,4002.82,39.25,0,99.32,0.015892
42,0.3,Normal,Drone 2,Success,1.1691,6143.8635,0.2306,3965.15,38.75,0,99.32,0.015892
42,0.3,Normal,Drone 3,Success,1.4122,9924.51,0.219,3589.81,34.9,0,99.32,0.015892
42,0.3,Normal,Drone 4,Success,1.2418,6390.1916,0.2365,3193.53,31.25,0,99.32,0.015892
42,0.3,Early,Drone 0,Success,1.927,4381.169,0.4369,3484.32,34.05,0,98.93,0.017211
42,0.3,Early,Drone 1,Success,1.9179,5697.2286,0.3546,3492.74,33.9,0,98.93,0.017211
42,0.3,Early,Drone 2,Success,1.8994,5966.0646,0.3811,3506.23,33.85,0,98.93,0.017211
42,0.3,Early,Drone 3,Success,2.1626,10430.8273,0.3713,3495.0,31.55,0,98.93,0.017211
42,0.3,Early,Drone 4,Success,2.1134,4534.5298,0.3573,3443.42,26.6,0,98.93,0.017211
84,0.3,Normal,Drone 0,Success,1.1239,5684.716,0.2532,4313.29,42.3,0,99.77,0.022649
84,0.3,Normal,Drone 1,Success,1.2595,6557.9957,0.1911,3331.52,32.45,0,99.77,0.022649
84,0.3,Normal,Drone 2,Success,1.0145,46015.1087,0.2847,7138.28,70.1,0,99.77,0.022649
84,0.3,Normal,Drone 3,Success,1.2426,3104.4278,0.2478,3029.22,30.0,0,99.77,0.022649
84,0.3,Normal,Drone 4,Success,1.4132,10826.2023,0.2029,4237.36,41.55,0,99.77,0.022649
84,0.3,Early,Drone 0,Success,1.7994,8801.5515,0.4636,3893.6,37.2,0,99.72,0.027413
84,0.3,Early,Drone 1,Success,1.909,5666.9102,0.3018,3850.25,29.8,0,99.72,0.027413
84,0.3,Early,Drone 2,Success,1.7953,11440.2478,0.4483,3926.8,37.95,0,99.72,0.027413
84,0.3,Early,Drone 3,Success,1.8602,4028.9495,0.3615,3797.53,27.45,0,99.72,0.027413
84,0.3,Early,Drone 4,Success,1.9097,10972.8139,0.32,3879.96,35.25,0,99.72,0.027413
79,0.3,Normal,Drone 0,Success,1.2243,8396.6519,0.2112,3115.82,30.45,0,99.77,0.018973
79,0.3,Normal,Drone 1,Success,1.3384,3888.2494,0.1929,3405.98,33.45,0,99.77,0.018973
